mode=live listening on 3423, upstream http://127.0.0.1:3422
[run +  0.00s] composer submitted the run
[run +  0.09s] live stream opened at after_seq=0 against http://127.0.0.1:8099
[run +  0.09s] live frame 1: status (+0.0s into the connection)
[run +  0.09s] live frame 2: step (+0.0s into the connection)
[run +  0.09s] live frame 3: step (+0.0s into the connection)
[run +  0.09s] live frame 4: step (+0.0s into the connection)
[run +  0.09s] live frame 5: step (+0.0s into the connection)
[run +  0.09s] live frame 6: step (+0.0s into the connection)
[run +  0.09s] live frame 7: step (+0.0s into the connection)
[run +  0.09s] live frame 8: step (+0.0s into the connection)
[run +  1.59s] live frame 9: step (+1.5s into the connection)
[run +  3.59s] live frame 10: step (+3.5s into the connection)
[run +  2.87s] live frame 11: step (+2.8s into the connection)
[run +  4.88s] live frame 12: step (+4.8s into the connection)
[run +  6.87s] live frame 13: step (+6.8s into the connection)
[run +  8.94s] live frame 14: step (+8.9s into the connection)
[run + 10.87s] live frame 15: step (+10.8s into the connection)
[run + 12.87s] live frame 16: step (+12.8s into the connection)
[run + 14.87s] live frame 17: step (+14.8s into the connection)
[run + 16.87s] live frame 18: step (+16.8s into the connection)
[run + 18.87s] live frame 19: step (+18.8s into the connection)
[run + 20.88s] live frame 20: step (+20.8s into the connection)
[run + 22.87s] live frame 21: step (+22.8s into the connection)
[run + 24.87s] live frame 22: step (+24.8s into the connection)
[run + 26.87s] live frame 23: step (+26.8s into the connection)
[run + 28.87s] live frame 24: step (+28.8s into the connection)
[run + 30.87s] live frame 25: step (+30.8s into the connection)
[run + 30.12s] live frame 26: step (+30.0s into the connection)
[run + 32.12s] live frame 27: step (+32.0s into the connection)
[run + 34.12s] live frame 28: step (+34.0s into the connection)
[run + 36.12s] live frame 29: step (+36.0s into the connection)
[run + 38.12s] live frame 30: step (+38.0s into the connection)
[run + 40.12s] live frame 31: step (+40.0s into the connection)
[run + 42.12s] live frame 32: step (+42.0s into the connection)
[run + 44.12s] live frame 33: step (+44.0s into the connection)
[run + 46.12s] live frame 34: step (+46.0s into the connection)
[run + 48.13s] live frame 35: step (+48.0s into the connection)
[run + 50.13s] live frame 36: step (+50.0s into the connection)
[run + 51.22s] live stream ERRORED after 51.1s: aborted
